ite 542, loss is 16.91141128540039
ite 543, loss is 19.23374366760254
ite 544, loss is 19.200393676757812
ite 545, loss is 15.780843734741211
ite 546, loss is 16.212942123413086
ite 547, loss is 16.936927795410156
ite 548, loss is 14.888228416442871
ite 549, loss is 16.316144943237305
ite 550, loss is 14.744330406188965
ite 551, loss is 15.34814167022705
ite 552, loss is 14.559981346130371
ite 553, loss is 14.817886352539062
ite 554, loss is 14.644346237182617
ite 555, loss is 14.44309139251709
ite 556, loss is 14.347994804382324
ite 557, loss is 14.268702507019043
ite 558, loss is 14.128470420837402
ite 559, loss is 14.131861686706543
ite 560, loss is 13.967764854431152
ite 561, loss is 13.883984565734863
ite 562, loss is 13.832186698913574
ite 563, loss is 13.771039009094238
ite 564, loss is 13.724306106567383
ite 565, loss is 13.660516738891602
ite 566, loss is 13.548818588256836
ite 567, loss is 13.516400337219238
ite 568, loss is 13.411755561828613
ite 569, loss is 13.431081771850586
ite 570, loss is 13.323898315429688
ite 571, loss is 13.34673023223877
ite 572, loss is 13.256563186645508
ite 573, loss is 13.220193862915039
ite 574, loss is 13.177416801452637
ite 575, loss is 13.130051612854004
ite 576, loss is 13.129165649414062
ite 577, loss is 13.078145027160645
ite 578, loss is 13.173285484313965
ite 579, loss is 13.221883773803711
ite 580, loss is 13.57617473602295
ite 581, loss is 14.033439636230469
ite 582, loss is 15.056283950805664
ite 583, loss is 15.42033863067627
ite 584, loss is 14.737767219543457
ite 585, loss is 13.225973129272461
ite 586, loss is 13.196331024169922
ite 587, loss is 14.006265640258789
ite 588, loss is 13.376301765441895
ite 589, loss is 12.956801414489746
ite 590, loss is 13.481647491455078
ite 591, loss is 13.223970413208008
ite 592, loss is 12.660959243774414
ite 593, loss is 12.929830551147461
ite 594, loss is 12.9849214553833
ite 595, loss is 12.570764541625977
ite 596, loss is 12.706672668457031
ite 597, loss is 12.730527877807617
ite 598, loss is 12.477314949035645
ite 599, loss is 12.538497924804688
ite 600, loss is 12.566061973571777
ite 601, loss is 12.353924751281738
ite 602, loss is 12.328012466430664
ite 603, loss is 12.412459373474121
ite 604, loss is 12.295698165893555
ite 605, loss is 12.197542190551758
ite 606, loss is 12.250685691833496
ite 607, loss is 12.22877025604248
ite 608, loss is 12.1447172164917
ite 609, loss is 12.218120574951172
ite 610, loss is 12.4203519821167
ite 611, loss is 12.814671516418457
ite 612, loss is 13.456072807312012
ite 613, loss is 14.473236083984375
ite 614, loss is 13.809883117675781
ite 615, loss is 12.460346221923828
ite 616, loss is 12.667293548583984
ite 617, loss is 12.891617774963379
ite 618, loss is 12.547019004821777
