ite 552, loss is 21.151222229003906
ite 553, loss is 21.042037963867188
ite 554, loss is 16.49051856994629
ite 555, loss is 19.012283325195312
ite 556, loss is 17.850265502929688
ite 557, loss is 16.777936935424805
ite 558, loss is 16.65404510498047
ite 559, loss is 16.219005584716797
ite 560, loss is 16.258792877197266
ite 561, loss is 15.435794830322266
ite 562, loss is 15.724313735961914
ite 563, loss is 15.190174102783203
ite 564, loss is 15.346095085144043
ite 565, loss is 15.037785530090332
ite 566, loss is 14.934904098510742
ite 567, loss is 14.887672424316406
ite 568, loss is 14.6483154296875
ite 569, loss is 14.677369117736816
ite 570, loss is 14.459918022155762
ite 571, loss is 14.456107139587402
ite 572, loss is 14.295329093933105
ite 573, loss is 14.311043739318848
ite 574, loss is 14.148216247558594
ite 575, loss is 14.160840034484863
ite 576, loss is 13.989263534545898
ite 577, loss is 14.028697967529297
ite 578, loss is 13.909706115722656
ite 579, loss is 13.821208000183105
ite 580, loss is 13.82827377319336
ite 581, loss is 13.691567420959473
ite 582, loss is 13.72693920135498
ite 583, loss is 13.598154067993164
ite 584, loss is 13.624794006347656
ite 585, loss is 13.492049217224121
ite 586, loss is 13.517415046691895
ite 587, loss is 13.409746170043945
ite 588, loss is 13.423025131225586
ite 589, loss is 13.329217910766602
ite 590, loss is 13.318368911743164
ite 591, loss is 13.262413024902344
ite 592, loss is 13.237122535705566
ite 593, loss is 13.18863582611084
ite 594, loss is 13.153324127197266
ite 595, loss is 13.112649917602539
ite 596, loss is 13.076064109802246
ite 597, loss is 13.039884567260742
ite 598, loss is 13.006267547607422
ite 599, loss is 12.969740867614746
ite 600, loss is 12.938944816589355
ite 601, loss is 12.906732559204102
ite 602, loss is 12.873577117919922
ite 603, loss is 12.846007347106934
ite 604, loss is 12.819744110107422
ite 605, loss is 12.79975414276123
ite 606, loss is 12.796669960021973
ite 607, loss is 12.828117370605469
ite 608, loss is 12.987534523010254
ite 609, loss is 13.369294166564941
ite 610, loss is 14.709944725036621
ite 611, loss is 16.42668914794922
ite 612, loss is 20.562681198120117
ite 613, loss is 16.248807907104492
ite 614, loss is 13.730080604553223
ite 615, loss is 15.142645835876465
ite 616, loss is 13.85272216796875
ite 617, loss is 14.105208396911621
ite 618, loss is 13.72162914276123
ite 619, loss is 13.440899848937988
ite 620, loss is 13.873613357543945
ite 621, loss is 13.214012145996094
ite 622, loss is 13.357401847839355
ite 623, loss is 13.204944610595703
ite 624, loss is 13.032861709594727
ite 625, loss is 13.054171562194824
ite 626, loss is 12.875222206115723
ite 627, loss is 12.95781421661377
ite 628, loss is 12.682069778442383
ite 629, loss is 12.766573905944824
ite 630, loss is 12.64857292175293
ite 631, loss is 12.526318550109863
ite 632, loss is 12.583170890808105
ite 633, loss is 12.42564582824707
ite 634, loss is 12.476853370666504
ite 635, loss is 12.323260307312012
ite 636, loss is 12.394658088684082
ite 637, loss is 12.236928939819336
ite 638, loss is 12.278219223022461
ite 639, loss is 12.202366828918457
ite 640, loss is 12.182045936584473
ite 641, loss is 12.110677719116211
ite 642, loss is 12.10414981842041
ite 643, loss is 12.051798820495605
ite 644, loss is 12.019492149353027
ite 645, loss is 11.9837064743042
ite 646, loss is 11.96551513671875
ite 647, loss is 11.91639518737793
ite 648, loss is 11.893125534057617
ite 649, loss is 11.867795944213867
ite 650, loss is 11.828032493591309
ite 651, loss is 11.82166862487793
ite 652, loss is 11.777323722839355
ite 653, loss is 11.783162117004395
ite 654, loss is 11.7682466506958
ite 655, loss is 11.796645164489746
ite 656, loss is 11.880598068237305
ite 657, loss is 12.111185073852539
ite 658, loss is 12.599300384521484
ite 659, loss is 13.491024017333984
ite 660, loss is 14.345711708068848
ite 661, loss is 13.922806739807129
ite 662, loss is 12.340374946594238
ite 663, loss is 12.061951637268066
ite 664, loss is 12.965377807617188
ite 665, loss is 12.307028770446777
